year,month,state,num_visits,num_unique_visitors
2020,3,ga,33124545,1698995
2020,3,gu,73362,6583
2020,3,hi,3934715,173205
2020,3,ia,8825991,613207
2020,3,id,3411023,249186
2020,3,il,29899214,2063050
2020,3,in,16560065,1175480
2020,3,ks,8226159,517209
2020,3,ky,11401480,762779
2020,3,la,14449006,785206
2020,3,ma,10540858,874055
2020,3,md,11688421,782305
2020,3,me,1812711,127029
2020,3,mi,19705541,1276318
2020,3,mn,11416800,854220
2020,3,mo,18770809,1171172
2020,3,mp,204,44
2020,3,ms,10067065,564063
2020,3,mt,1757265,125991
2020,3,nb,5,5
2020,3,nc,27441439,1478657
2020,3,nd,1769842,124709
2020,3,ne,5749831,411648
2020,3,nh,2380244,191027
2020,3,nj,17960930,1242238
2020,3,nl,48,25
2020,3,nm,3769711,354628
2020,3,nv,8156150,550612
2020,3,ny,36493566,2673044
2020,3,oh,27765515,1770361
2020,3,ok,13559432,733135
2020,3,on,81,31
2020,3,or,7786822,495063
2020,3,pa,24147654,1772946
2020,3,pr,1916429,224732
2020,3,qc,150,56
2020,3,ri,1749938,165687
2020,3,sc,15638281,871841
2020,3,sd,1871500,135989
2020,3,sk,115,20
2020,3,tn,21093508,1237063
2020,3,tx,89482619,4337482
2020,3,ut,6930534,517591
2020,3,va,18707254,1194875
2020,3,vi,10361,1841
2020,3,vt,716584,71022
2020,3,wa,12388255,798348
2020,3,wi,11114350,761599
2020,3,wv,3773561,287956
2020,3,wy,1089377,102591
year,month,state,num_visits,num_unique_visitors
2020,5,ALL_STATES,662274677,29934212
2020,5,ak,888205,47542
2020,5,al,19804250,858598
2020,5,ap,742,310
2020,5,ar,9866347,473190
2020,5,as,59,34
2020,5,az,14009387,684310
2020,5,ca,53033683,2717079
2020,5,co,10196958,591549
2020,5,ct,4507455,313061
2020,5,dc,967636,158502
2020,5,de,1540151,127490
2020,5,fl,54002934,2604022
2020,5,ga,30698424,1324260
2020,5,gu,36113,4447
2020,5,hi,2636501,95462
2020,5,ia,8016920,494103
2020,5,id,3258644,198653
2020,5,il,22739242,1443180
2020,5,in,15047094,899745
2020,5,ks,7405841,416279
2020,5,ky,10022400,595184
2020,5,la,13063973,607803
2020,5,ma,7117176,521655
2020,5,md,8659039,574729
2020,5,me,1539923,95298
2020,5,mi,15445411,966859
2020,5,mn,9172322,658204
2020,5,mo,17393036,893220
2020,5,mp,26,10
2020,5,ms,10076728,483419
2020,5,mt,1764093,100476
2020,5,nc,23641436,1161986
2020,5,nd,1651336,100115
2020,5,ne,5058065,315873
2020,5,nh,2050221,152665
2020,5,nj,12694604,868637
2020,5,nm,2868260,253419
2020,5,nv,5861514,351580
2020,5,ny,24862882,1805136
2020,5,oh,24916950,1396800
2020,5,ok,13600384,615097
2020,5,or,6542282,382141
2020,5,pa,18640288,1309046
2020,5,pr,920771,147242
2020,5,ri,1384611,118504
2020,5,sc,15279353,776077
2020,5,sd,1865360,123155
2020,5,tn,20655509,1000693
2020,5,tx,80816782,3455646
2020,5,ut,6078893,333424
2020,5,va,14801135,873499
2020,5,vi,5202,1123
2020,5,vt,537149,43038
2020,5,wa,10206496,585916
2020,5,wi,9869524,649922
2020,5,wv,3472609,237695
2020,5,wy,1082348,94885
year,month,state,num_visits,num_unique_visitors
2020,6,ALL_STATES,798171658,32021070
2020,6,ak,1054228,52599
2020,6,al,22336484,969782
2020,6,ap,617,268
2020,6,ar,10916359,508698
2020,6,as,104,59
2020,6,az,15719072,771011
2020,6,ca,64892293,2998294
2020,6,co,12642130,670460
2020,6,ct,5741712,363702
2020,6,dc,930714,117321
2020,6,de,2273731,177419
2020,6,fl,65666994,2886537
2020,6,ga,35216532,1624956
2020,6,gu,45012,4945
2020,6,hi,3111175,100401
2020,6,ia,9841740,525558
2020,6,id,3929043,248314
2020,6,il,29114345,1688300
2020,6,in,18237857,1036777
2020,6,ks,9271642,474990
2020,6,ky,11855956,676604
2020,6,la,15326074,676852
2020,6,ma,8924115,591951
2020,6,md,11075372,686148
2020,6,me,1967397,119096
2020,6,mi,21484410,1118605
2020,6,mn,11871249,727622
2020,6,mo,21048490,1016292
2020,6,mp,1,1
2020,6,ms,11523426,552155
2020,6,mt,2152561,128873
2020,6,nc,28158155,1337907
2020,6,nd,1992777,116017
2020,6,ne,6083508,338353
2020,6,nh,2614576,186639
2020,6,nj,17036449,1037999
2020,6,nm,3524536,298040
2020,6,nv,8148721,454239
2020,6,ny,30511859,1878560
2020,6,oh,30432508,1528585
2020,6,ok,15482576,669288
2020,6,or,7962217,427210
2020,6,pa,23285652,1448923
2020,6,pr,1174744,167887
2020,6,ri,1749795,131367
2020,6,sc,18256403,896638
2020,6,sd,2430392,154529
2020,6,tn,23579459,1129967
2020,6,tx,91271030,3726064
2020,6,ut,6991697,401919
2020,6,va,17872237,998616
2020,6,vi,5806,1391
2020,6,vt,694908,52521
2020,6,wa,12293961,635449
2020,6,wi,12889031,758271
2020,6,wv,4148896,282426
2020,6,wy,1408930,128942
year,month,state,num_visits,num_unique_visitors
2020,7,ALL_STATES,818376187,32786255
2020,7,ak,1087173,56106
2020,7,al,22119762,974647
2020,7,ap,742,287
2020,7,ar,11023956,518249
2020,7,as,197,71
2020,7,az,14457634,727385
2020,7,ca,65281376,3117201
2020,7,co,14056915,756492
2020,7,ct,6287718,390211
2020,7,dc,963473,127234
2020,7,de,2446730,195342
2020,7,fl,64184543,2949592
2020,7,ga,36133206,1787323
2020,7,gu,45349,5134
2020,7,hi,3288119,120961
2020,7,ia,10186961,575583
2020,7,id,4097128,288163
2020,7,il,31266253,1613068
2020,7,in,19219111,1090579
2020,7,ks,9176370,512755
2020,7,ky,12430556,715012
2020,7,la,14836864,662055
2020,7,ma,10335281,679160
2020,7,md,11835912,742283
2020,7,me,2331870,150374
2020,7,mi,23281046,1247298
2020,7,mn,12578490,741618
2020,7,mo,22443117,1085757
2020,7,mp,127,21
2020,7,ms,11387442,559778
2020,7,mt,2359201,154914
2020,7,nc,28618187,1394477
2020,7,nd,2052082,118309
2020,7,ne,6565783,382477
2020,7,nh,2874831,210663
2020,7,nj,20088916,1146449
2020,7,nm,3606924,326779
2020,7,nv,9137161,515316
2020,7,ny,33939419,1999335
2020,7,oh,30847268,1539806
2020,7,ok,15244279,683594
2020,7,or,8479054,455458
2020,7,pa,24760549,1533437
2020,7,pr,1129050,166211
2020,7,ri,1974414,152216
2020,7,sc,17743467,902086
2020,7,sd,2675805,171294
2020,7,tn,23797936,1206666
2020,7,tx,86372231,3592957
2020,7,ut,7238040,467917
2020,7,va,18849704,1060952
2020,7,vi,5999,1497
2020,7,vt,750169,61158
2020,7,wa,13033051,658902
2020,7,wi,13767628,804636
2020,7,wv,4102419,292581
2020,7,wy,1579199,149570
year,month,state,num_visits,num_unique_visitors
2020,8,ALL_STATES,868811661,35455162
2020,8,ak,1040668,55956
2020,8,al,23603016,937009
2020,8,ap,765,292
2020,8,ar,12198467,542059
2020,8,as,193,72
2020,8,az,15895415,859475
2020,8,ca,67431089,3177172
2020,8,co,14552448,780349
2020,8,ct,6836654,510340
2020,8,dc,1030243,147379
2020,8,de,2476149,207032
2020,8,fl,65953929,3039464
2020,8,ga,38526575,1863580
2020,8,gu,40638,5089
2020,8,hi,2949392,104056
2020,8,ia,11010770,600147
2020,8,id,4166777,290334
2020,8,il,33314473,1735226
2020,8,in,21117571,1140469
2020,8,ks,9854867,508334
2020,8,ky,13367119,735642
2020,8,la,15628492,707760
2020,8,ma,11059431,768955
2020,8,md,12000766,790397
2020,8,me,2516302,171639
2020,8,mi,24578185,1331145
2020,8,mn,13395835,811464
2020,8,mo,23410240,1080516
2020,8,mp,204,27
2020,8,ms,12465856,562815
2020,8,mt,2398224,151093
2020,8,nc,30240005,1458258
2020,8,nd,2181425,123832
2020,8,ne,7132760,409898
2020,8,nh,3178192,254612
2020,8,nj,21197495,1317444
2020,8,nm,3675682,333825
2020,8,nv,9311321,577422
2020,8,ny,36299568,2226545
2020,8,oh,34021415,1678749
2020,8,ok,16869102,699800
2020,8,or,8600702,468499
2020,8,pa,26942102,1691496
2020,8,pr,644095,88405
2020,8,ri,2074641,189709
2020,8,sc,18030285,899665
2020,8,sd,2980233,176796
2020,8,tn,25209373,1219129
2020,8,tx,95152809,3687235
2020,8,ut,7573373,483212
2020,8,va,19918955,1115915
2020,8,vi,5534,1255
2020,8,vt,825616,71231
2020,8,wa,13429223,710430
2020,8,wi,14475731,848194
2020,8,wv,4437152,307434
2020,8,wy,1584119,148176
year,month,state,num_visits,num_unique_visitors
2020,9,ALL_STATES,850573530,35756143
2020,9,ak,996951,56594
2020,9,al,22546706,921569
2020,9,ap,588,254
2020,9,ar,12217966,539226
2020,9,as,114,61
2020,9,az,16216055,833918
2020,9,ca,65544717,3235355
2020,9,co,13698063,763568
2020,9,ct,6773098,456435
2020,9,dc,1029773,148336
2020,9,de,2233413,177790
2020,9,fl,64474357,2947706
2020,9,ga,37344018,1795588
2020,9,gu,27562,3847
2020,9,hi,2610779,109239
2020,9,ia,10826151,559760
2020,9,id,4061252,256115
2020,9,il,31878222,1740051
2020,9,in,20851235,1102291
2020,9,ks,9776179,506506
2020,9,ky,13295503,730085
2020,9,la,15851346,709609
2020,9,ma,11018781,754120
2020,9,md,11408910,761963
2020,9,me,2348392,151678
2020,9,mi,23884615,1226638
2020,9,mn,12977237,764124
2020,9,mo,23239546,1053321
2020,9,mp,32,12
2020,9,ms,12479270,557474
2020,9,mt,2239656,143465
2020,9,nc,29001521,1433935
2020,9,nd,2168735,126832
2020,9,ne,6908359,378759
2020,9,nh,2969501,220891
2020,9,nj,19973683,1259986
2020,9,nm,3503444,307572
2020,9,nv,9170853,541087
2020,9,ny,36617576,2190509
2020,9,oh,34297758,1672916
2020,9,ok,16410065,694897
2020,9,or,8021857,476632
2020,9,pa,26558158,1622102
2020,9,pr,661540,102020
2020,9,ri,2003516,156549
2020,9,sc,17358386,874194
2020,9,sd,2721976,160849
2020,9,tn,24843971,1195589
2020,9,tx,95293164,3939958
2020,9,ut,7387642,449836
2020,9,va,19311466,1083266
2020,9,vi,4506,1065
2020,9,vt,853956,66845
2020,9,wa,12733005,695737
2020,9,wi,14083691,824583
2020,9,wv,4362214,286292
2020,9,wy,1502500,131988
year,month,state,num_visits,num_unique_visitors
2020,10,ALL_STATES,899790036,34787736
2020,10,ak,962480,52360
2020,10,al,24585443,911813
2020,10,ap,541,245
2020,10,ar,13081880,538468
2020,10,as,156,81
2020,10,az,18349884,840351
2020,10,ca,70060897,3043809
2020,10,co,13856864,733631
2020,10,ct,6957385,454928
2020,10,dc,1043489,160045
2020,10,de,2229195,163474
2020,10,fl,70929713,2963562
2020,10,ga,40902227,1846465
2020,10,gu,30333,4017
2020,10,hi,3143950,110070
2020,10,ia,11371240,559678
2020,10,id,4121428,234818
2020,10,il,33230465,1741434
2020,10,in,20988523,1072188
2020,10,ks,10425886,519681
2020,10,ky,13991514,743454
2020,10,la,17181232,697942
2020,10,ma,10983630,729615
2020,10,md,11876420,770125
2020,10,me,2326475,140006
2020,10,mi,24682971,1267121
2020,10,mn,12957750,726692
2020,10,mo,24496619,1078763
2020,10,ms,13394152,556417
2020,10,mt,2085409,123997
2020,10,nc,31416774,1444540
2020,10,nd,2142021,120032
2020,10,ne,7194149,388387
2020,10,nh,2964936,214656
2020,10,nj,20367763,1155425
2020,10,nm,3604250,315215
2020,10,nv,10097622,553942
2020,10,ny,37478218,2168083
2020,10,oh,35268216,1663846
2020,10,ok,17023010,691258
2020,10,or,8473586,441100
2020,10,pa,27646761,1584780
2020,10,pr,907444,101548
2020,10,ri,1934893,145620
2020,10,sc,18780470,870575
2020,10,sd,2629141,147917
2020,10,tn,26404961,1229672
2020,10,tx,103302206,3885933
2020,10,ut,7574658,440104
2020,10,va,20401453,1058922
2020,10,vi,4902,1121
2020,10,vt,860445,66713
2020,10,wa,13123637,673285
2020,10,wi,13825042,755096
2020,10,wv,4670302,290312
2020,10,wy,1445025,115785
